N,P,K,temperature,humidity,ph,rainfall,label
78.06,48.7,35.0,22.01,84.3,6.62,248.21,rice
87.9,46.05,37.14,23.31,89.01,7.23,175.45,rice
65.09,47.89,41.33,22.35,88.18,7.1,250.92,rice
73.48,39.98,35.24,21.71,84.75,7.38,160.92,rice
84.87,50.74,36.94,24.87,84.94,5.68,248.41,rice
60.33,53.77,42.7,20.75,84.25,5.49,293.69,rice
91.08,36.26,37.49,25.94,84.56,7.24,250.14,rice
119.27,49.89,44.5,26.24,86.13,7.01,225.72,rice
109.83,48.7,43.97,25.21,84.75,5.73,187.09,rice
98.26,54.15,40.21,24.39,82.75,5.22,192.86,rice
76.3,42.99,40.4,20.97,82.31,6.94,255.96,rice
63.85,45.19,40.43,22.91,82.07,6.18,285.73,rice
95.04,52.39,43.57,25.36,83.8,5.02,202.76,rice
105.21,56.34,44.53,22.93,87.48,6.53,240.49,rice
73.23,40.49,39.36,20.2,83.36,6.9,210.65,rice
69.9,46.68,36.28,24.36,80.27,6.1,234.66,rice
61.63,51.07,36.36,23.23,80.5,6.06,181.75,rice
79.61,54.03,38.79,25.26,88.32,5.71,162.29,rice
61.16,48.49,45.0,22.45,86.5,7.19,247.76,rice
105.25,58.74,36.99,20.14,81.52,5.35,250.42,rice
93.84,40.45,41.99,25.37,81.68,6.7,262.19,rice
66.87,55.48,44.65,20.76,80.26,5.87,251.6,rice
117.49,44.92,42.15,20.53,86.91,6.76,165.29,rice
106.35,56.26,41.0,20.85,89.84,7.19,202.08,rice
85.7,44.26,40.06,22.39,88.5,7.3,165.83,rice
117.65,50.89,43.29,24.95,84.35,7.05,294.82,rice
76.2,55.2,40.38,23.38,84.36,7.05,190.26,rice
111.1,55.77,35.87,26.17,82.44,6.3,241.55,rice
82.74,35.72,43.51,21.27,82.12,7.23,201.05,rice
112.82,52.53,37.76,20.07,89.48,5.24,258.01,rice
89.31,53.95,41.91,24.52,84.91,7.22,163.96,rice
73.3,52.29,38.06,24.07,84.73,6.49,213.83,rice
104.76,43.27,42.03,21.9,82.51,5.34,178.89,rice
67.17,48.4,42.62,21.3,82.16,6.36,258.69,rice
118.6,48.12,37.83,20.7,81.94,5.64,176.92,rice
60.85,48.35,37.74,26.82,85.53,6.95,168.94,rice
112.11,47.27,43.73,24.02,84.69,6.23,177.65,rice
63.08,58.53,39.78,25.75,84.01,5.21,244.42,rice
63.22,38.73,40.63,22.13,89.94,5.33,264.67,rice
96.38,54.77,37.26,23.66,84.51,6.24,279.02,rice
119.4,42.63,41.21,24.27,87.4,7.65,181.17,rice
72.66,51.51,36.57,21.22,80.75,5.01,217.58,rice
95.63,42.28,37.31,24.95,87.03,6.27,253.11,rice
115.43,54.7,41.25,24.63,89.34,6.19,231.68,rice
85.91,57.71,23.27,18.64,58.32,6.12,97.45,maize
82.77,42.22,16.24,24.2,68.99,7.39,85.02,maize
79.75,37.01,15.4,21.89,61.45,6.0,64.57,maize
98.48,55.9,20.75,26.56,74.99,6.84,73.48,maize
61.61,53.91,19.71,23.86,73.32,5.86,89.27,maize
85.39,47.29,15.91,21.13,61.67,6.84,102.89,maize
73.19,52.34,17.88,26.51,71.27,6.6,82.74,maize
72.58,43.08,24.7,21.64,65.29,7.48,92.88,maize
81.7,45.33,16.88,21.26,70.13,6.75,98.0,maize
68.14,48.73,24.28,21.94,68.97,5.74,108.66,maize
84.35,40.98,16.58,22.96,66.05,5.69,109.61,maize
96.52,46.54,16.17,25.49,64.97,6.93,85.44,maize
70.94,55.87,24.8,20.19,66.03,6.27,106.09,maize
80.33,56.98,23.64,20.49,70.8,6.33,106.71,maize
80.31,55.51,17.83,20.69,66.74,7.5,84.48,maize
65.94,48.46,18.45,22.97,65.87,6.41,76.09,maize
67.55,52.44,20.72,20.1,70.51,5.59,97.24,maize
88.21,55.29,18.86,23.97,71.41,7.46,84.77,maize
61.48,47.56,20.9,25.83,72.48,6.38,86.3,maize
78.28,53.06,19.1,23.89,58.09,6.44,108.46,maize
73.54,52.32,21.5,25.67,72.05,7.22,79.0,maize
72.67,52.97,22.59,25.85,55.72,5.64,91.56,maize
96.84,59.94,22.47,21.91,56.97,6.77,103.63,maize
77.75,52.35,24.03,18.41,70.92,6.09,78.74,maize
65.82,48.28,20.66,25.13,58.4,5.66,103.54,maize
84.79,41.02,24.13,19.29,64.22,6.01,72.77,maize
60.38,55.12,24.01,24.1,58.16,6.38,77.28,maize
83.5,50.97,19.24,20.25,71.91,5.9,79.23,maize
79.33,40.93,20.72,23.17,74.85,6.09,108.9,maize
86.33,41.86,20.66,24.17,69.89,5.6,90.32,maize
79.87,57.6,17.86,25.19,67.14,6.2,91.83,maize
84.84,51.94,22.21,23.93,71.77,6.76,105.17,maize
85.85,42.72,19.41,23.22,69.65,5.68,74.76,maize
89.9,39.39,16.32,22.85,74.43,6.56,105.67,maize
93.22,41.42,23.25,22.34,71.13,6.99,76.94,maize
64.61,59.07,16.41,26.7,72.2,6.95,109.0,maize
98.69,55.11,18.66,25.12,55.28,6.57,82.74,maize
86.91,51.81,20.85,25.4,73.81,5.72,71.69,maize
61.0,57.11,20.61,26.24,59.43,5.63,101.19,maize
96.38,42.55,19.08,19.26,73.93,6.11,84.63,maize
63.89,57.18,16.36,22.08,68.41,6.99,107.3,maize
76.77,53.56,16.55,21.73,56.98,6.48,80.41,maize
98.06,35.82,18.71,21.99,74.01,7.21,64.97,maize
87.43,48.61,24.78,21.23,62.96,5.88,66.11,maize
93.92,46.37,21.63,23.78,66.94,5.54,99.34,maize
69.74,38.15,20.65,18.62,70.3,5.91,70.8,maize
94.79,43.21,16.48,26.1,55.06,7.22,67.23,maize
65.2,41.27,16.74,23.95,55.52,5.53,99.5,maize
69.52,43.09,16.74,18.47,69.83,6.55,97.28,maize
79.05,54.45,20.13,18.98,65.08,7.39,62.17,maize
91.33,56.67,20.21,22.12,74.28,5.62,83.95,maize
76.06,52.15,19.9,26.19,56.47,5.66,90.41,maize
62.63,41.88,21.33,22.94,61.5,7.49,86.53,maize
78.15,50.14,15.99,24.32,72.06,6.8,98.45,maize
88.83,40.38,19.52,20.06,61.78,6.41,80.8,maize
63.8,45.67,21.65,21.37,58.05,7.35,63.36,maize
93.27,37.33,15.97,24.65,71.24,6.61,89.32,maize
82.46,43.24,16.22,21.18,68.31,7.0,103.4,maize
88.84,59.21,21.0,21.16,66.56,5.93,92.84,maize
68.97,37.71,23.45,21.31,70.25,6.65,100.36,maize
93.81,59.36,23.18,23.52,67.85,5.55,106.45,maize
93.18,41.69,16.8,24.32,61.18,6.18,60.31,maize
94.79,49.16,19.01,19.28,67.66,5.56,97.31,maize
68.61,45.5,18.41,21.33,69.43,7.05,88.38,maize
63.4,36.32,16.57,23.56,68.48,6.04,93.1,maize
79.43,46.05,17.73,24.79,57.28,6.36,74.16,maize
87.14,47.17,21.67,18.41,62.91,6.7,60.38,maize
72.06,40.28,16.37,20.3,61.56,5.52,97.35,maize
67.03,44.51,22.04,22.5,71.67,7.11,63.6,maize
94.47,36.06,15.19,26.29,72.24,6.65,88.67,maize
88.38,45.44,16.15,18.19,61.5,7.1,90.91,maize
93.28,57.99,15.88,25.6,59.87,6.68,86.2,maize
75.83,42.76,18.4,21.0,58.36,6.52,65.7,maize
80.4,57.65,18.49,24.55,71.38,7.13,71.81,maize
65.86,39.93,21.02,24.84,68.11,5.85,98.64,maize
79.76,53.86,22.6,22.04,73.48,6.63,91.76,maize
84.98,56.61,21.27,19.36,56.37,6.38,75.14,maize
70.99,36.4,20.07,20.79,64.04,5.61,101.58,maize
63.07,56.61,23.55,23.54,65.14,6.43,87.72,maize
91.67,57.4,19.5,25.29,68.04,6.14,83.78,maize
66.03,36.55,16.04,26.09,61.87,6.93,85.23,maize
66.9,41.19,19.38,21.95,65.45,5.82,78.64,maize
71.32,45.22,18.38,23.38,70.78,6.79,63.3,maize
63.78,51.96,17.84,24.51,68.13,7.31,103.66,maize
73.33,49.57,16.41,21.15,74.35,6.9,79.6,maize
83.8,58.45,18.1,21.39,70.83,7.13,93.51,maize
93.16,53.47,21.85,22.74,67.92,6.35,78.09,maize
74.5,39.51,17.14,26.53,64.73,5.95,66.88,maize
63.09,56.11,16.01,24.94,71.7,7.27,61.89,maize
73.47,54.16,16.31,21.39,58.24,7.16,98.55,maize
92.36,39.14,19.38,21.7,68.53,5.98,82.21,maize
71.4,53.71,19.49,22.81,61.19,7.12,83.45,maize
93.4,44.2,24.47,26.86,64.23,6.06,79.09,maize
81.1,59.16,23.17,25.21,57.77,6.0,92.06,maize
94.96,48.86,16.03,25.61,72.02,6.07,98.16,maize
70.91,57.63,16.47,21.94,73.93,5.94,82.56,maize
73.98,35.67,15.53,22.52,59.72,7.49,78.75,maize
61.13,58.27,23.39,23.85,70.83,5.78,74.34,maize
93.19,52.4,16.39,24.35,63.97,5.51,63.96,maize
70.24,55.87,20.49,24.55,65.56,5.72,74.41,maize
32.05,56.19,79.2,20.97,16.74,6.28,92.15,chickpea
43.87,55.41,80.15,18.21,14.86,7.07,83.44,chickpea
29.62,65.41,81.64,17.43,19.85,6.17,80.78,chickpea
40.29,79.71,80.54,18.95,16.82,7.59,94.43,chickpea
30.15,55.41,82.89,18.72,18.4,7.57,88.15,chickpea
49.41,63.31,75.44,19.73,18.88,6.44,88.37,chickpea
38.58,72.38,81.32,21.06,14.38,7.94,78.73,chickpea
31.74,56.1,76.99,17.21,19.6,7.29,94.67,chickpea
41.72,61.33,82.53,17.96,16.14,7.95,90.97,chickpea
33.28,58.11,78.68,21.45,18.46,8.24,76.6,chickpea
58.95,67.41,79.98,21.62,17.12,8.0,86.81,chickpea
23.16,70.06,83.22,19.73,15.93,6.2,84.83,chickpea
32.26,70.07,79.26,20.45,16.11,6.11,91.1,chickpea
34.1,79.95,77.75,21.9,19.69,6.19,84.13,chickpea
34.53,75.03,81.79,21.76,14.86,7.52,88.44,chickpea
21.39,56.68,82.79,18.83,16.3,7.42,83.15,chickpea
47.16,78.72,78.72,20.82,17.44,7.32,76.94,chickpea
45.98,61.24,76.13,20.68,16.99,6.97,81.85,chickpea
30.47,61.51,79.46,21.98,15.71,8.29,79.74,chickpea
24.91,76.32,79.52,21.49,16.67,6.22,85.46,chickpea
53.82,62.99,78.47,17.32,17.25,8.23,90.54,chickpea
48.47,78.18,81.38,20.97,17.05,6.3,71.03,chickpea
25.56,74.76,75.26,19.77,16.21,8.01,81.55,chickpea
44.48,57.16,78.09,22.0,18.31,7.31,88.07,chickpea
52.93,56.84,84.72,20.21,16.7,7.7,75.34,chickpea
55.12,74.51,81.4,17.91,19.8,7.08,92.32,chickpea
22.22,58.1,76.53,17.82,15.94,7.77,75.38,chickpea
57.64,77.37,83.46,18.25,17.81,7.38,68.76,chickpea
32.11,68.34,80.03,17.84,19.65,6.39,84.76,chickpea
48.83,70.13,83.43,19.82,18.95,6.07,66.36,chickpea
45.66,69.42,81.51,20.83,16.5,7.6,79.94,chickpea
45.09,62.24,84.57,19.41,18.83,7.71,73.92,chickpea
22.92,56.5,79.4,19.42,15.22,7.52,74.38,chickpea
48.73,73.35,83.61,21.88,14.78,6.93,81.85,chickpea
32.76,66.66,77.67,18.24,14.58,6.73,76.52,chickpea
44.62,61.21,83.65,17.8,15.96,7.44,74.38,chickpea
50.52,67.46,80.15,19.49,15.85,6.06,93.36,chickpea
40.22,79.17,77.15,18.76,14.3,7.24,91.47,chickpea
46.17,66.76,80.37,21.24,16.59,8.21,86.83,chickpea
50.55,64.15,79.01,19.85,15.17,7.38,67.21,chickpea
40.17,74.11,77.8,21.95,18.08,6.3,94.25,chickpea
35.76,74.87,78.39,21.69,18.53,6.5,80.27,chickpea
40.0,56.13,76.37,18.67,16.84,7.14,83.19,chickpea
40.62,63.2,81.13,17.81,19.94,7.85,73.98,chickpea
33.45,75.71,80.32,20.54,15.8,8.04,76.05,chickpea
46.95,79.5,80.84,20.98,18.35,7.72,65.8,chickpea
38.98,79.18,82.83,20.88,17.47,7.8,82.51,chickpea
26.82,70.73,81.2,21.21,14.89,7.7,65.95,chickpea
57.93,57.75,75.19,18.57,14.91,7.73,77.31,chickpea
51.0,78.01,83.73,20.68,14.37,6.35,71.22,chickpea
33.0,71.56,80.25,18.57,15.04,8.28,75.27,chickpea
34.17,74.3,82.21,20.22,18.16,7.53,70.77,chickpea
29.86,68.95,77.25,21.86,15.79,6.72,71.22,chickpea
48.2,62.93,78.49,21.67,18.77,6.68,68.66,chickpea
47.06,64.49,84.8,21.09,19.73,8.01,73.71,chickpea
31.51,72.85,78.46,19.21,15.54,7.2,71.06,chickpea
41.54,78.33,81.96,17.69,17.69,7.47,72.27,chickpea
46.79,68.28,81.38,17.26,16.48,7.79,68.02,chickpea
50.83,55.13,80.5,21.65,16.44,8.34,91.35,chickpea
39.1,59.99,84.64,18.61,17.88,8.27,67.68,chickpea
42.97,68.38,82.23,21.68,19.48,6.44,91.47,chickpea
27.03,77.99,84.97,18.98,16.97,8.34,93.86,chickpea
57.04,76.92,75.09,19.84,14.64,8.46,73.54,chickpea
59.56,68.58,79.94,21.69,19.11,7.17,70.78,chickpea
24.51,59.06,79.59,18.29,15.12,7.84,88.72,chickpea
42.71,73.93,76.75,21.28,19.38,8.07,80.46,chickpea
23.47,71.73,76.85,17.7,15.94,6.62,72.82,chickpea
29.42,73.84,84.54,18.51,18.34,6.03,84.61,chickpea
47.71,56.55,76.18,18.53,16.43,7.26,91.85,chickpea
48.14,62.77,76.17,21.58,15.77,7.54,71.57,chickpea
25.34,58.83,82.48,20.03,16.5,7.37,79.12,chickpea
41.5,71.6,77.18,18.24,18.53,8.18,67.46,chickpea
37.87,72.59,75.78,19.82,14.37,7.37,80.16,chickpea
42.91,58.75,78.28,19.6,14.7,6.51,82.49,chickpea
23.64,67.76,83.09,19.27,17.08,7.14,66.73,chickpea
38.5,75.17,82.23,18.98,18.9,7.86,82.35,chickpea
21.81,63.61,75.64,21.97,19.61,6.17,93.01,chickpea
21.27,65.22,82.69,20.83,19.87,7.61,77.61,chickpea
59.71,64.56,83.7,21.53,16.25,7.71,84.85,chickpea
41.57,71.34,78.48,17.89,17.22,7.32,86.84,chickpea
28.91,55.09,75.23,18.49,18.04,7.36,80.96,chickpea
52.93,61.19,78.46,18.38,19.62,7.81,68.39,chickpea
52.38,65.48,82.66,21.42,14.09,6.52,68.03,chickpea
21.34,69.94,82.03,17.24,18.44,7.01,72.03,chickpea
28.69,76.59,75.56,19.52,15.74,8.04,86.95,chickpea
32.76,69.95,81.73,18.6,15.81,6.36,84.81,chickpea
28.84,62.51,75.61,21.74,19.28,8.28,83.78,chickpea
37.09,67.39,84.72,21.71,18.03,7.96,74.56,chickpea
36.65,58.73,78.76,20.77,16.84,8.12,74.02,chickpea
48.3,75.14,84.15,19.81,19.81,7.39,69.02,chickpea
29.71,60.08,81.47,21.61,19.08,6.23,86.74,chickpea
27.62,61.71,81.74,20.01,19.24,6.47,87.85,chickpea
48.97,68.97,79.79,21.35,16.0,8.39,65.46,chickpea
57.49,79.05,76.17,22.0,16.87,6.61,83.13,chickpea
28.18,77.88,80.52,20.88,16.28,7.33,75.78,chickpea
30.46,67.82,79.97,17.49,19.89,7.17,90.19,chickpea
56.57,64.27,79.14,19.81,15.33,6.36,72.82,chickpea
57.39,69.48,79.18,17.76,15.98,6.95,90.0,chickpea
39.97,71.37,81.85,18.29,18.93,8.42,84.25,chickpea
39.62,59.21,82.95,17.85,18.32,7.22,92.51,chickpea
28.55,71.05,15.59,15.3,23.93,5.97,120.14,kidneybeans
34.11,65.31,23.43,17.08,22.95,5.5,105.52,kidneybeans
24.33,70.45,21.67,20.55,21.38,5.74,60.6,kidneybeans
28.79,55.3,20.29,17.47,24.84,5.51,133.18,kidneybeans
31.85,75.15,24.1,15.96,18.67,5.57,77.27,kidneybeans
28.16,75.38,17.67,18.57,20.61,5.7,110.85,kidneybeans
39.76,60.65,21.84,22.63,22.58,5.93,128.36,kidneybeans
17.34,64.48,20.53,15.51,18.07,5.59,104.99,kidneybeans
25.85,74.61,20.66,22.72,18.67,5.76,63.83,kidneybeans
20.29,76.7,23.88,19.28,18.33,5.54,143.3,kidneybeans
37.48,69.09,15.33,23.36,20.2,5.98,112.83,kidneybeans
33.81,72.82,18.98,15.69,19.14,5.62,135.12,kidneybeans
24.73,77.41,18.32,21.8,18.98,5.99,125.17,kidneybeans
27.52,79.36,15.54,18.93,23.87,5.67,129.21,kidneybeans
38.87,64.92,22.74,15.27,19.91,6.0,104.15,kidneybeans
23.9,78.53,19.32,21.12,22.62,5.54,115.68,kidneybeans
34.95,72.83,15.82,16.39,22.98,5.82,126.57,kidneybeans
22.92,57.66,15.05,17.77,20.52,5.63,71.93,kidneybeans
19.68,66.22,20.55,18.67,18.18,5.68,68.38,kidneybeans
29.95,63.11,18.85,17.63,20.71,5.54,141.1,kidneybeans
37.63,79.45,20.72,16.53,20.67,5.57,87.1,kidneybeans
27.33,56.58,19.35,18.79,21.39,5.54,82.65,kidneybeans
21.16,70.63,20.94,16.76,18.75,5.65,145.39,kidneybeans
23.31,70.5,23.04,17.97,20.34,5.91,137.36,kidneybeans
39.36,58.4,18.21,23.53,19.41,5.66,146.81,kidneybeans
39.22,62.29,21.95,19.42,22.03,5.62,93.84,kidneybeans
35.41,64.82,16.14,20.07,22.15,5.77,121.35,kidneybeans
28.75,78.83,19.62,21.38,21.07,5.65,122.36,kidneybeans
35.47,74.89,19.09,19.49,22.43,5.62,119.28,kidneybeans
32.88,74.73,15.74,23.92,21.35,5.7,105.6,kidneybeans
38.01,72.29,20.44,22.12,20.52,5.95,108.32,kidneybeans
30.95,57.12,22.69,20.92,20.49,5.82,63.99,kidneybeans
39.59,71.94,19.0,21.77,24.76,5.72,60.95,kidneybeans
21.47,67.77,20.19,20.22,22.03,5.72,95.2,kidneybeans
34.31,69.71,20.0,18.1,18.17,5.55,97.44,kidneybeans
39.04,57.9,24.41,16.28,20.18,5.73,78.62,kidneybeans
27.07,66.9,19.38,21.27,20.23,5.65,132.92,kidneybeans
17.88,76.23,21.48,21.09,19.15,5.99,81.95,kidneybeans
19.36,59.0,20.6,23.63,19.62,5.7,76.6,kidneybeans
31.01,65.8,15.29,20.53,19.38,5.8,95.0,kidneybeans
32.62,60.14,22.52,22.28,18.44,5.55,138.48,kidneybeans
19.67,63.15,19.58,17.36,24.04,5.76,117.52,kidneybeans
29.92,70.28,20.87,18.13,23.92,5.81,133.24,kidneybeans
32.65,62.44,21.14,15.76,18.94,5.56,87.48,kidneybeans
19.58,72.34,20.11,18.76,18.97,5.69,76.72,kidneybeans
30.89,72.34,21.45,24.0,21.88,5.74,72.63,kidneybeans
22.86,66.28,15.54,18.23,18.07,5.57,133.37,kidneybeans
39.1,67.64,19.95,21.16,20.91,5.92,103.98,kidneybeans
17.07,55.77,22.61,17.63,19.92,5.77,75.14,kidneybeans
26.43,73.56,22.66,19.95,18.79,5.56,129.76,kidneybeans
35.58,64.17,23.23,15.37,23.03,5.77,149.08,kidneybeans
17.56,75.75,22.51,17.68,25.0,5.72,91.37,kidneybeans
35.42,65.98,24.94,21.98,19.66,5.91,112.91,kidneybeans
23.77,72.77,21.33,16.49,18.97,5.6,78.62,kidneybeans
16.48,63.77,17.81,19.85,20.27,5.85,86.04,kidneybeans
21.68,76.45,24.85,21.11,18.67,5.98,130.71,kidneybeans
37.97,79.81,23.67,16.14,24.06,5.62,124.03,kidneybeans
35.71,74.04,21.76,19.41,22.04,5.63,97.28,kidneybeans
26.3,70.84,23.8,15.84,21.61,5.64,144.27,kidneybeans
24.23,78.76,18.27,15.02,23.42,5.87,125.78,kidneybeans
26.46,71.6,18.58,15.57,21.74,5.61,98.67,kidneybeans
20.3,61.71,23.28,18.04,22.05,5.78,103.68,kidneybeans
23.59,72.06,15.48,15.9,23.49,5.73,71.18,kidneybeans
36.44,66.03,15.01,23.62,19.42,5.84,71.87,kidneybeans
31.25,58.97,24.33,17.47,22.58,5.63,93.47,kidneybeans
37.6,59.14,18.96,17.75,22.9,5.62,118.99,kidneybeans
32.59,55.03,19.77,16.19,19.58,5.84,60.84,kidneybeans
32.39,75.43,24.88,18.8,18.93,5.54,94.48,kidneybeans
33.27,57.56,18.13,22.93,18.96,5.89,127.78,kidneybeans
18.33,79.82,16.43,19.77,18.06,5.83,99.61,kidneybeans
33.06,70.7,16.51,18.71,22.81,5.93,67.8,kidneybeans
17.51,73.81,20.9,18.46,24.74,5.66,72.58,kidneybeans
21.92,57.11,20.53,20.4,22.25,5.89,122.14,kidneybeans
36.2,71.46,18.02,19.66,21.57,5.87,86.6,kidneybeans
16.36,77.45,24.55,19.45,18.79,5.75,113.45,kidneybeans
28.21,79.44,24.87,23.41,18.92,5.93,111.15,kidneybeans
24.14,72.07,22.63,23.59,23.39,5.51,66.08,kidneybeans
21.55,56.0,15.6,22.1,21.55,5.81,105.09,kidneybeans
25.39,72.55,15.82,19.83,22.31,5.64,87.89,kidneybeans
27.78,60.08,23.08,19.83,20.74,5.82,135.11,kidneybeans
32.03,56.65,21.99,21.57,23.93,5.53,67.76,kidneybeans
25.86,66.33,21.09,17.78,23.19,5.87,70.75,kidneybeans
32.7,72.54,16.64,23.58,21.66,5.89,124.87,kidneybeans
19.17,58.17,22.81,17.42,24.2,5.89,62.64,kidneybeans
35.18,61.8,15.64,21.41,22.04,5.54,100.97,kidneybeans
24.0,67.49,20.67,18.31,19.79,5.55,111.65,kidneybeans
33.07,60.71,20.09,15.4,24.04,5.62,102.46,kidneybeans
24.57,58.75,24.31,22.72,21.87,5.96,126.66,kidneybeans
25.48,63.05,19.16,21.48,19.9,5.54,93.55,kidneybeans
27.55,77.55,16.79,22.24,24.87,5.98,66.2,kidneybeans
26.63,62.06,23.45,17.95,21.87,5.5,78.06,kidneybeans
29.1,62.6,21.23,19.18,22.14,5.75,129.54,kidneybeans
19.89,77.51,22.6,17.21,18.04,5.71,80.97,kidneybeans
23.66,75.99,23.77,23.56,18.01,5.83,136.41,kidneybeans
33.18,57.6,20.3,17.14,21.44,5.53,149.73,kidneybeans
32.79,57.33,24.21,23.08,21.64,5.85,93.52,kidneybeans
39.36,57.12,15.96,16.2,23.74,5.54,111.1,kidneybeans
25.87,79.11,17.37,17.35,20.21,5.9,123.07,kidneybeans
33.38,62.95,17.72,15.67,19.42,5.89,112.62,kidneybeans
18.89,59.11,19.66,18.66,21.75,5.98,78.69,kidneybeans
22.71,61.63,16.2,21.15,57.44,6.98,166.66,pigeonpeas
16.01,75.9,18.28,19.82,39.93,5.57,146.48,pigeonpeas
31.93,61.5,24.91,18.62,46.18,5.86,172.29,pigeonpeas
21.25,66.55,23.04,20.8,30.48,6.99,198.08,pigeonpeas
18.27,75.59,18.72,30.61,55.79,6.25,118.47,pigeonpeas
35.32,55.55,15.64,36.05,47.74,4.89,189.56,pigeonpeas
35.73,63.29,15.43,27.22,36.72,6.22,180.39,pigeonpeas
24.87,55.74,21.83,21.46,38.59,5.06,120.78,pigeonpeas
37.09,55.87,21.19,22.92,41.8,5.74,150.58,pigeonpeas
16.52,61.99,16.37,21.99,65.39,6.08,159.38,pigeonpeas
35.05,74.87,24.89,33.64,44.36,6.13,143.31,pigeonpeas
37.82,67.56,18.88,21.6,42.76,5.16,188.53,pigeonpeas
34.46,56.46,24.92,28.59,60.67,7.5,197.14,pigeonpeas
17.5,71.42,17.67,34.33,66.69,4.67,199.6,pigeonpeas
20.49,76.16,22.97,25.1,63.57,7.04,109.37,pigeonpeas
29.81,75.16,21.98,36.28,31.13,6.6,194.23,pigeonpeas
29.09,69.08,16.88,37.76,65.27,5.98,124.0,pigeonpeas
27.26,57.26,17.33,22.38,51.06,4.5,190.97,pigeonpeas
20.04,58.26,22.17,36.38,63.77,5.47,92.41,pigeonpeas
29.67,77.93,22.74,34.93,64.43,7.38,131.09,pigeonpeas
38.55,64.89,16.01,24.04,35.46,4.97,194.36,pigeonpeas
34.8,79.02,21.49,21.48,68.75,6.58,192.17,pigeonpeas
34.67,60.58,20.89,21.51,42.27,6.57,104.01,pigeonpeas
33.22,78.72,24.49,25.83,69.77,7.4,93.56,pigeonpeas
30.06,78.03,24.68,22.42,52.62,7.31,105.47,pigeonpeas
33.63,60.95,24.82,21.36,65.41,4.77,167.99,pigeonpeas
