State,District,Nitrogen,Phosphorus,Potassium,pH,Soil_Type
Andhra Pradesh,Anantapur,104.1,13.3,107.2,8.04,Red Sandy Arid
Andhra Pradesh,Anantapur,113.4,10.8,109.5,8.25,Red Sandy Arid
Andhra Pradesh,Anantapur,101.5,11.7,130.0,8.4,Red Sandy Arid
Andhra Pradesh,Anantapur,101.5,10.3,108.0,8.36,Red Sandy Arid
Andhra Pradesh,Anantapur,117.6,14.3,111.1,7.89,Red Sandy Arid
Andhra Pradesh,Anantapur,116.7,13.2,118.4,8.39,Red Sandy Arid
Andhra Pradesh,Anantapur,113.1,9.0,124.5,7.98,Red Sandy Arid
Andhra Pradesh,Anantapur,113.3,14.6,104.0,7.87,Red Sandy Arid
Andhra Pradesh,Anantapur,102.1,12.3,108.2,8.16,Red Sandy Arid
Andhra Pradesh,Anantapur,114.4,10.2,119.0,7.96,Red Sandy Arid
Andhra Pradesh,Anantapur,109.8,14.4,125.4,7.86,Red Sandy Arid
Andhra Pradesh,Anantapur,108.5,10.7,100.1,8.26,Red Sandy Arid
Andhra Pradesh,Anantapur,112.7,10.6,122.2,8.13,Red Sandy Arid
Andhra Pradesh,Anantapur,108.6,9.1,102.3,8.33,Red Sandy Arid
Andhra Pradesh,Anantapur,118.1,12.3,125.0,8.15,Red Sandy Arid
Andhra Pradesh,Anantapur,103.0,9.8,109.2,8.34,Red Sandy Arid
Andhra Pradesh,Anantapur,115.9,14.2,127.0,7.93,Red Sandy Arid
Andhra Pradesh,Anantapur,105.0,9.6,123.4,8.33,Red Sandy Arid
Andhra Pradesh,Anantapur,108.1,12.7,104.6,8.36,Red Sandy Arid
Andhra Pradesh,Visakhapatnam,147.3,21.9,164.3,7.03,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,130.5,20.4,150.0,7.06,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,146.0,21.2,164.3,6.66,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,145.7,16.6,166.2,7.02,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,134.4,20.9,153.8,6.68,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,145.9,17.4,140.7,6.62,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,136.6,21.2,169.0,6.67,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,142.8,18.4,169.4,6.82,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,148.8,16.7,169.1,6.61,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,149.3,17.6,143.3,6.76,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,144.6,17.9,158.2,6.81,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,137.7,19.5,147.6,6.93,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,130.0,21.6,156.2,6.93,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,144.8,20.0,150.9,6.54,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,143.3,18.0,149.4,7.01,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,144.4,17.8,149.3,6.75,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,138.0,17.8,143.8,6.75,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,148.8,20.1,167.1,6.87,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,136.0,19.3,140.0,6.67,Laterite & Coastal Sand
Andhra Pradesh,Visakhapatnam,138.6,19.5,159.6,6.78,Laterite & Coastal Sand
Andhra Pradesh,Chittoor,128.8,13.3,139.2,7.54,Red Loamy Soil
Andhra Pradesh,Chittoor,135.9,13.0,127.5,7.31,Red Loamy Soil
Andhra Pradesh,Chittoor,132.7,14.0,149.6,7.45,Red Loamy Soil
Andhra Pradesh,Chittoor,133.5,13.3,131.0,7.01,Red Loamy Soil
Andhra Pradesh,Chittoor,124.9,14.9,150.5,7.04,Red Loamy Soil
Andhra Pradesh,Chittoor,128.3,15.8,130.8,7.42,Red Loamy Soil
Andhra Pradesh,Chittoor,129.9,13.5,144.7,7.0,Red Loamy Soil
Andhra Pradesh,Chittoor,135.0,16.6,128.2,7.26,Red Loamy Soil
Andhra Pradesh,Chittoor,123.5,17.7,140.5,7.03,Red Loamy Soil
Andhra Pradesh,Chittoor,125.0,17.1,138.7,7.48,Red Loamy Soil
Andhra Pradesh,Chittoor,133.4,17.9,142.9,7.57,Red Loamy Soil
Andhra Pradesh,Chittoor,137.8,15.7,146.6,7.3,Red Loamy Soil
Andhra Pradesh,Chittoor,136.6,15.3,151.9,7.45,Red Loamy Soil
Andhra Pradesh,Chittoor,129.5,13.6,132.4,7.38,Red Loamy Soil
Andhra Pradesh,Chittoor,135.3,15.1,143.8,7.16,Red Loamy Soil
Andhra Pradesh,Chittoor,121.5,13.7,133.2,7.19,Red Loamy Soil
Andhra Pradesh,Chittoor,130.8,12.8,131.9,7.42,Red Loamy Soil
Andhra Pradesh,Chittoor,134.1,12.4,137.2,7.33,Red Loamy Soil
Andhra Pradesh,Chittoor,128.3,13.2,137.6,7.54,Red Loamy Soil
Andhra Pradesh,Chittoor,131.7,16.2,150.7,7.46,Red Loamy Soil
Andhra Pradesh,East Godavari,147.6,17.0,165.6,7.05,Alluvial Delta
Andhra Pradesh,East Godavari,157.1,22.7,167.6,7.05,Alluvial Delta
Andhra Pradesh,East Godavari,150.9,20.6,161.6,6.73,Alluvial Delta
Andhra Pradesh,East Godavari,148.7,17.2,165.1,7.01,Alluvial Delta
Andhra Pradesh,East Godavari,148.1,18.0,169.0,6.68,Alluvial Delta
Andhra Pradesh,East Godavari,152.4,17.2,166.8,6.94,Alluvial Delta
Andhra Pradesh,East Godavari,140.5,20.9,159.1,6.88,Alluvial Delta
Andhra Pradesh,East Godavari,141.0,19.3,161.3,6.8,Alluvial Delta
Andhra Pradesh,East Godavari,155.2,19.3,177.6,7.1,Alluvial Delta
Andhra Pradesh,East Godavari,145.0,17.5,155.6,6.92,Alluvial Delta
Andhra Pradesh,East Godavari,160.0,19.1,174.5,7.07,Alluvial Delta
Andhra Pradesh,East Godavari,153.0,21.5,183.5,6.72,Alluvial Delta
Andhra Pradesh,East Godavari,140.4,17.9,158.8,7.0,Alluvial Delta
Andhra Pradesh,East Godavari,151.3,18.3,176.0,7.06,Alluvial Delta
Andhra Pradesh,East Godavari,143.4,20.6,177.4,6.67,Alluvial Delta
Andhra Pradesh,East Godavari,156.4,22.8,158.2,6.62,Alluvial Delta
Andhra Pradesh,East Godavari,146.2,21.1,183.7,6.84,Alluvial Delta
Andhra Pradesh,East Godavari,154.3,17.5,175.7,6.98,Alluvial Delta
Andhra Pradesh,East Godavari,142.0,21.6,180.5,6.96,Alluvial Delta
Andhra Pradesh,East Godavari,142.4,22.9,178.5,6.81,Alluvial Delta
Andhra Pradesh,West Godavari,153.6,20.2,175.2,6.9,Alluvial Delta
Andhra Pradesh,West Godavari,162.0,22.9,163.2,7.28,Alluvial Delta
Andhra Pradesh,West Godavari,157.7,23.0,181.2,6.96,Alluvial Delta
Andhra Pradesh,West Godavari,159.7,23.8,168.1,7.18,Alluvial Delta
Andhra Pradesh,West Godavari,155.8,20.9,173.1,7.14,Alluvial Delta
Andhra Pradesh,West Godavari,150.4,23.1,184.9,6.75,Alluvial Delta
Andhra Pradesh,West Godavari,162.6,19.5,173.9,7.07,Alluvial Delta
Andhra Pradesh,West Godavari,152.6,18.2,185.5,6.81,Alluvial Delta
Andhra Pradesh,West Godavari,149.2,22.8,170.2,7.23,Alluvial Delta
Andhra Pradesh,West Godavari,159.0,19.7,160.3,7.27,Alluvial Delta
Andhra Pradesh,West Godavari,146.7,22.3,174.7,7.15,Alluvial Delta
Andhra Pradesh,West Godavari,158.8,21.9,174.7,7.18,Alluvial Delta
Andhra Pradesh,West Godavari,146.9,19.3,180.8,6.88,Alluvial Delta
Andhra Pradesh,West Godavari,156.6,20.8,175.9,6.96,Alluvial Delta
Andhra Pradesh,West Godavari,159.9,20.0,181.1,6.86,Alluvial Delta
Andhra Pradesh,West Godavari,150.0,18.7,165.8,6.77,Alluvial Delta
Andhra Pradesh,West Godavari,155.7,22.6,165.6,6.83,Alluvial Delta
Andhra Pradesh,West Godavari,154.7,22.3,189.3,7.01,Alluvial Delta
Andhra Pradesh,West Godavari,150.7,18.6,165.8,6.84,Alluvial Delta
Andhra Pradesh,West Godavari,148.6,18.1,176.0,6.86,Alluvial Delta
Andhra Pradesh,Krishna,161.5,20.8,173.9,6.98,Black & Alluvial
Andhra Pradesh,Krishna,159.4,20.4,179.2,7.24,Black & Alluvial
Andhra Pradesh,Krishna,151.4,20.1,158.5,6.93,Black & Alluvial
Andhra Pradesh,Krishna,160.8,20.4,177.7,7.14,Black & Alluvial
Andhra Pradesh,Krishna,143.5,21.3,154.6,6.99,Black & Alluvial
Andhra Pradesh,Krishna,153.3,19.3,182.8,6.97,Black & Alluvial
Andhra Pradesh,Krishna,157.3,21.1,176.7,7.04,Black & Alluvial
Andhra Pradesh,Krishna,152.5,20.2,166.3,7.42,Black & Alluvial
Andhra Pradesh,Krishna,161.8,19.3,171.6,7.27,Black & Alluvial
Andhra Pradesh,Krishna,156.8,23.2,159.2,7.03,Black & Alluvial
Andhra Pradesh,Krishna,155.2,18.4,158.2,6.95,Black & Alluvial
Andhra Pradesh,Krishna,142.1,20.2,170.8,7.07,Black & Alluvial
Andhra Pradesh,Krishna,146.6,21.7,174.1,7.17,Black & Alluvial
Andhra Pradesh,Krishna,155.7,23.0,176.6,7.28,Black & Alluvial
Andhra Pradesh,Krishna,155.2,23.1,165.8,7.23,Black & Alluvial
Andhra Pradesh,Krishna,155.0,23.0,177.8,6.94,Black & Alluvial
Andhra Pradesh,Krishna,145.3,19.3,175.5,7.24,Black & Alluvial
Andhra Pradesh,Krishna,147.8,18.2,173.7,7.32,Black & Alluvial
Andhra Pradesh,Krishna,160.9,20.5,167.8,6.95,Black & Alluvial
Andhra Pradesh,Krishna,142.8,20.1,162.7,7.05,Black & Alluvial
Andhra Pradesh,Prakasam,119.8,17.3,148.1,7.65,Red Loam
Andhra Pradesh,Prakasam,137.0,17.5,143.2,7.46,Red Loam
Andhra Pradesh,Prakasam,118.8,16.0,137.1,7.69,Red Loam
Andhra Pradesh,Prakasam,136.3,12.6,140.6,7.68,Red Loam
Andhra Pradesh,Prakasam,127.8,12.0,133.4,7.5,Red Loam
Andhra Pradesh,Prakasam,131.4,16.6,132.9,7.72,Red Loam
Andhra Pradesh,Prakasam,123.8,17.2,147.4,7.63,Red Loam
Andhra Pradesh,Prakasam,127.1,13.4,132.7,7.88,Red Loam
Andhra Pradesh,Prakasam,126.1,14.6,152.6,7.69,Red Loam
Andhra Pradesh,Prakasam,128.9,14.0,128.6,7.52,Red Loam
Andhra Pradesh,Prakasam,133.1,15.3,145.8,7.42,Red Loam
Andhra Pradesh,Prakasam,129.0,17.1,136.1,7.72,Red Loam
Andhra Pradesh,Prakasam,120.4,17.3,141.3,7.44,Red Loam
Andhra Pradesh,Prakasam,121.2,14.8,139.6,7.36,Red Loam
Andhra Pradesh,Prakasam,137.8,17.0,136.8,7.37,Red Loam
Andhra Pradesh,Prakasam,134.6,14.5,144.5,7.61,Red Loam
Andhra Pradesh,Prakasam,123.5,16.5,152.4,7.45,Red Loam
Andhra Pradesh,Prakasam,129.0,13.8,150.7,7.6,Red Loam
Andhra Pradesh,Prakasam,135.6,16.7,131.3,7.77,Red Loam
Andhra Pradesh,Prakasam,126.3,17.1,138.2,7.79,Red Loam
Andhra Pradesh,Nellore,133.7,15.8,152.6,7.5,Coastal Sandy Clay
Andhra Pradesh,Nellore,137.8,14.9,151.2,7.11,Coastal Sandy Clay
Andhra Pradesh,Nellore,139.0,17.3,148.7,7.09,Coastal Sandy Clay
Andhra Pradesh,Nellore,131.8,18.2,152.2,7.04,Coastal Sandy Clay
Andhra Pradesh,Nellore,143.5,14.3,157.3,7.32,Coastal Sandy Clay
Andhra Pradesh,Nellore,144.2,16.3,154.9,7.39,Coastal Sandy Clay
Andhra Pradesh,Nellore,147.6,17.0,136.1,7.2,Coastal Sandy Clay
Andhra Pradesh,Nellore,139.8,19.2,161.2,7.16,Coastal Sandy Clay
Andhra Pradesh,Nellore,138.5,16.7,156.7,7.15,Coastal Sandy Clay
Andhra Pradesh,Nellore,141.1,14.9,149.1,7.48,Coastal Sandy Clay
Andhra Pradesh,Nellore,134.8,18.2,154.5,7.41,Coastal Sandy Clay
Andhra Pradesh,Nellore,145.0,19.2,146.4,7.09,Coastal Sandy Clay
Andhra Pradesh,Nellore,142.4,18.6,161.2,6.92,Coastal Sandy Clay
Andhra Pradesh,Nellore,129.4,17.8,162.6,7.5,Coastal Sandy Clay
Andhra Pradesh,Nellore,142.9,16.6,138.0,7.28,Coastal Sandy Clay
Andhra Pradesh,Nellore,145.5,16.7,155.8,7.44,Coastal Sandy Clay
Andhra Pradesh,Nellore,128.9,18.8,143.8,7.12,Coastal Sandy Clay
Andhra Pradesh,Nellore,130.9,17.2,152.0,7.38,Coastal Sandy Clay
Andhra Pradesh,Nellore,131.4,14.5,161.1,7.27,Coastal Sandy Clay
Andhra Pradesh,Nellore,132.8,19.5,139.3,7.18,Coastal Sandy Clay
Telangana,Warangal,130.1,14.5,125.3,6.98,Red Sandy Loam (Chalka)
Telangana,Warangal,143.0,17.1,129.7,6.77,Red Sandy Loam (Chalka)
Telangana,Warangal,131.9,16.5,144.2,6.75,Red Sandy Loam (Chalka)
Telangana,Warangal,130.0,18.1,131.0,6.73,Red Sandy Loam (Chalka)
Telangana,Warangal,134.7,14.4,142.2,6.84,Red Sandy Loam (Chalka)
Telangana,Warangal,144.9,14.8,154.3,6.89,Red Sandy Loam (Chalka)
Telangana,Warangal,130.5,16.4,145.6,6.95,Red Sandy Loam (Chalka)
Telangana,Warangal,126.0,16.6,139.9,7.04,Red Sandy Loam (Chalka)
Telangana,Warangal,130.7,17.8,143.2,6.71,Red Sandy Loam (Chalka)
Telangana,Warangal,137.7,16.7,145.3,6.93,Red Sandy Loam (Chalka)
Telangana,Warangal,138.2,18.0,143.8,7.04,Red Sandy Loam (Chalka)
Telangana,Warangal,137.9,14.9,138.2,6.85,Red Sandy Loam (Chalka)
Telangana,Warangal,139.6,13.5,133.9,6.95,Red Sandy Loam (Chalka)
Telangana,Warangal,128.5,13.8,141.2,7.08,Red Sandy Loam (Chalka)
Telangana,Warangal,135.6,18.5,149.9,6.65,Red Sandy Loam (Chalka)
Telangana,Warangal,141.5,15.9,149.2,6.95,Red Sandy Loam (Chalka)
Telangana,Warangal,131.8,13.7,153.9,6.58,Red Sandy Loam (Chalka)
Telangana,Warangal,144.3,18.2,146.7,7.09,Red Sandy Loam (Chalka)
Telangana,Warangal,144.3,17.8,136.0,6.97,Red Sandy Loam (Chalka)
Telangana,Warangal,125.3,16.2,138.6,6.9,Red Sandy Loam (Chalka)
Telangana,Hyderabad,133.4,15.5,144.7,7.26,Red Sandy Loam
Telangana,Hyderabad,122.2,13.4,120.8,7.23,Red Sandy Loam
Telangana,Hyderabad,131.2,17.5,126.6,6.74,Red Sandy Loam
Telangana,Hyderabad,136.5,17.5,129.1,6.94,Red Sandy Loam
Telangana,Hyderabad,122.8,17.7,129.1,7.0,Red Sandy Loam
Telangana,Hyderabad,121.9,17.3,124.1,6.97,Red Sandy Loam
Telangana,Hyderabad,133.4,16.5,148.4,6.95,Red Sandy Loam
Telangana,Hyderabad,134.8,12.9,132.4,6.76,Red Sandy Loam
Telangana,Hyderabad,129.8,14.4,148.5,6.72,Red Sandy Loam
Telangana,Hyderabad,127.4,14.7,148.5,7.21,Red Sandy Loam
Telangana,Hyderabad,122.0,16.1,136.3,7.29,Red Sandy Loam
Telangana,Hyderabad,127.2,14.4,125.7,6.77,Red Sandy Loam
Telangana,Hyderabad,137.0,14.7,139.9,7.09,Red Sandy Loam
Telangana,Hyderabad,131.9,12.1,143.6,6.85,Red Sandy Loam
Telangana,Hyderabad,122.5,15.4,122.1,7.16,Red Sandy Loam
Telangana,Hyderabad,124.1,13.3,146.1,6.9,Red Sandy Loam
Telangana,Hyderabad,123.0,17.4,120.1,7.22,Red Sandy Loam
Telangana,Hyderabad,122.9,12.8,127.5,6.8,Red Sandy Loam
Telangana,Hyderabad,133.2,12.2,120.4,7.17,Red Sandy Loam
Telangana,Hyderabad,124.8,13.9,125.2,6.73,Red Sandy Loam
Telangana,Khammam,146.8,18.2,157.4,6.89,Black & Red Loam
Telangana,Khammam,147.6,18.1,138.3,6.9,Black & Red Loam
Telangana,Khammam,150.9,15.3,158.5,7.12,Black & Red Loam
Telangana,Khammam,142.4,17.7,163.9,6.64,Black & Red Loam
Telangana,Khammam,141.6,17.4,155.6,6.89,Black & Red Loam
Telangana,Khammam,150.2,15.4,137.4,6.96,Black & Red Loam
Telangana,Khammam,133.3,16.7,154.0,6.93,Black & Red Loam
Telangana,Khammam,138.5,21.0,150.9,6.87,Black & Red Loam
Telangana,Khammam,144.1,15.6,156.1,7.11,Black & Red Loam
Telangana,Khammam,145.0,19.6,156.6,6.73,Black & Red Loam
Telangana,Khammam,141.0,16.4,145.2,6.87,Black & Red Loam
Telangana,Khammam,140.3,15.6,147.8,7.0,Black & Red Loam
Telangana,Khammam,139.5,15.9,162.7,6.64,Black & Red Loam
Telangana,Khammam,148.6,15.6,137.9,7.04,Black & Red Loam
Telangana,Khammam,148.2,18.3,152.6,6.94,Black & Red Loam
Telangana,Khammam,138.6,15.7,145.6,7.0,Black & Red Loam
Telangana,Khammam,147.0,20.2,156.6,7.18,Black & Red Loam
Telangana,Khammam,144.0,17.1,152.3,6.73,Black & Red Loam
Telangana,Khammam,145.1,16.3,138.2,7.11,Black & Red Loam
Telangana,Khammam,139.4,19.6,152.2,7.08,Black & Red Loam
Telangana,Karimnagar,144.9,20.3,154.6,7.17,Black Cotton & Red
Telangana,Karimnagar,140.9,14.7,157.9,7.3,Black Cotton & Red
Telangana,Karimnagar,133.3,15.6,151.1,6.99,Black Cotton & Red
Telangana,Karimnagar,134.8,14.5,156.1,7.14,Black Cotton & Red
Telangana,Karimnagar,136.0,15.4,149.0,6.82,Black Cotton & Red
Telangana,Karimnagar,142.9,15.8,142.6,7.0,Black Cotton & Red
Telangana,Karimnagar,135.4,18.8,153.3,7.14,Black Cotton & Red
Telangana,Karimnagar,129.7,14.8,134.7,7.17,Black Cotton & Red
Telangana,Karimnagar,141.5,16.1,149.9,7.09,Black Cotton & Red
Telangana,Karimnagar,136.8,16.1,152.6,6.87,Black Cotton & Red
Telangana,Karimnagar,136.6,16.2,150.4,7.09,Black Cotton & Red
Telangana,Karimnagar,141.3,14.8,141.9,7.16,Black Cotton & Red
Telangana,Karimnagar,128.2,16.3,136.3,6.88,Black Cotton & Red
Telangana,Karimnagar,133.1,16.5,130.2,7.25,Black Cotton & Red
Telangana,Karimnagar,131.5,16.8,151.1,7.1,Black Cotton & Red
Telangana,Karimnagar,144.7,19.3,132.2,7.32,Black Cotton & Red
Telangana,Karimnagar,128.8,14.6,157.6,7.32,Black Cotton & Red
Telangana,Karimnagar,139.5,17.9,151.3,7.05,Black Cotton & Red
Telangana,Karimnagar,130.3,14.6,139.7,7.28,Black Cotton & Red
Telangana,Karimnagar,140.4,19.5,157.6,6.85,Black Cotton & Red
Telangana,Nalgonda,128.9,12.0,130.7,7.51,Red Chalkas
Telangana,Nalgonda,119.9,12.4,123.2,7.4,Red Chalkas
Telangana,Nalgonda,115.4,13.6,116.4,7.51,Red Chalkas
Telangana,Nalgonda,130.1,12.6,134.8,7.69,Red Chalkas
Telangana,Nalgonda,128.3,11.9,117.4,7.32,Red Chalkas
Telangana,Nalgonda,124.0,15.1,132.7,7.31,Red Chalkas
Telangana,Nalgonda,127.5,13.5,135.6,7.66,Red Chalkas
Telangana,Nalgonda,121.0,16.0,129.9,7.58,Red Chalkas
Telangana,Nalgonda,124.5,15.7,131.8,7.29,Red Chalkas
Telangana,Nalgonda,113.4,13.2,122.1,7.36,Red Chalkas
Telangana,Nalgonda,113.1,13.5,122.3,7.47,Red Chalkas
Telangana,Nalgonda,113.1,15.5,115.3,7.72,Red Chalkas
Telangana,Nalgonda,129.1,14.2,128.2,7.48,Red Chalkas
Telangana,Nalgonda,123.1,15.3,139.9,7.47,Red Chalkas
Telangana,Nalgonda,128.2,14.4,122.6,7.49,Red Chalkas
Telangana,Nalgonda,115.0,10.9,116.1,7.74,Red Chalkas
Telangana,Nalgonda,118.9,14.8,128.1,7.3,Red Chalkas
Telangana,Nalgonda,117.0,13.1,126.2,7.51,Red Chalkas
Telangana,Nalgonda,115.2,12.7,121.5,7.45,Red Chalkas
Telangana,Nalgonda,118.8,14.1,136.7,7.59,Red Chalkas
Telangana,Nizamabad,131.3,16.6,157.4,6.57,Black Cotton Soil
Telangana,Nizamabad,144.5,19.9,164.2,6.92,Black Cotton Soil
Telangana,Nizamabad,136.7,19.5,141.2,6.61,Black Cotton Soil
Telangana,Nizamabad,149.4,20.2,148.8,6.76,Black Cotton Soil
Telangana,Nizamabad,148.8,17.9,148.3,6.87,Black Cotton Soil
Telangana,Nizamabad,146.3,20.0,161.9,6.84,Black Cotton Soil
Telangana,Nizamabad,143.7,19.2,156.4,6.65,Black Cotton Soil
Telangana,Nizamabad,137.2,18.2,142.4,6.53,Black Cotton Soil
Telangana,Nizamabad,149.0,18.9,143.8,6.48,Black Cotton Soil
Telangana,Nizamabad,131.5,21.1,140.0,6.86,Black Cotton Soil
Telangana,Nizamabad,146.7,21.3,138.1,6.6,Black Cotton Soil
Telangana,Nizamabad,145.3,16.8,148.3,6.5,Black Cotton Soil
Telangana,Nizamabad,146.6,20.6,161.3,6.5,Black Cotton Soil
Telangana,Nizamabad,138.8,18.5,157.3,6.54,Black Cotton Soil
Telangana,Nizamabad,138.9,17.7,159.5,6.67,Black Cotton Soil
Telangana,Nizamabad,140.7,17.9,161.3,6.68,Black Cotton Soil
Telangana,Nizamabad,146.7,18.2,165.4,6.99,Black Cotton Soil
Telangana,Nizamabad,139.2,17.7,148.5,6.72,Black Cotton Soil
Telangana,Nizamabad,149.3,20.9,161.0,6.48,Black Cotton Soil
Telangana,Nizamabad,135.0,19.8,163.2,6.73,Black Cotton Soil
Telangana,Mahabubnagar,110.1,14.1,130.5,7.57,Red Sandy
Telangana,Mahabubnagar,123.3,10.6,132.2,7.49,Red Sandy
Telangana,Mahabubnagar,116.7,14.7,111.7,7.67,Red Sandy
